Continent,Country,Date of First Case(s),Last Visited Country(s) of Confirmed Case(s),Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s),Days_Since_Global_First_Case,First_Case_Month,First_Case_Month_Name,First_Case_Week,First_Case_DayOfYear,First_Case_Quarter,First_Case_Year,Has_Travel_Origin,Origin_Count,Multiple_Origins,Origin,Death_Recorded,Days_To_First_Death,Multiple_First_Day_Cases
South America,Uruguay,2020-03-13,Italy ,4,,2020-03-28,71,117,3,March,11,73,1,2020,True,1,False,Italy,True,15.0,True
Europe,Kosovo,2020-03-13,Italy ,2,"77,20",2020-03-22,,117,3,March,11,73,1,2020,True,1,False,Italy,True,9.0,True
North America,Antigua and Barbuda,2020-03-13,United Kingdom,1,,2020-04-07,48,117,3,March,11,73,1,2020,True,1,False,United Kingdom,True,25.0,False
North America,Saint Lucia,2020-03-13,United Kingdom,1,63,,,117,3,March,11,73,1,2020,True,1,False,United Kingdom,False,,False
Africa,Sudan,2020-03-13,United Arab Emirates,1,50,2020-03-12,50,117,3,March,11,73,1,2020,True,1,False,United Arab Emirates,True,-1.0,False
South America,Venezuela,2020-03-13,Unspecified ,2,31,2020-03-26,47,117,3,March,11,73,1,2020,True,1,False,Unspecified,True,13.0,True
South America,Suriname,2020-03-13,Unspecified ,1,,2020-04-03,,117,3,March,11,73,1,2020,True,1,False,Unspecified,True,21.0,False
Africa,Kenya,2020-03-13,"United States, United Kingdom",1,27,2020-03-26,66,117,3,March,11,73,1,2020,True,2,True,United States,True,13.0,False
Africa,Kenya,2020-03-13,"United States, United Kingdom",1,27,2020-03-26,66,117,3,March,11,73,1,2020,True,2,True,United Kingdom,True,13.0,False
Africa,Congo (Brazzaville),2020-03-14,France,1,50,2020-04-01,,118,3,March,11,74,1,2020,True,1,False,France,True,18.0,False
Africa,Rwanda,2020-03-14,India,1,,,,118,3,March,11,74,1,2020,True,1,False,India,False,,False
Africa,Seychelles,2020-03-14,Italy,2,,,,118,3,March,11,74,1,2020,True,1,False,Italy,False,,True
Africa,Central African Republic,2020-03-14,Italy,1,74,,,118,3,March,11,74,1,2020,True,1,False,Italy,False,,False
Africa,Namibia,2020-03-14,Spain,2,,,,118,3,March,11,74,1,2020,True,1,False,Spain,False,,True
Africa,Equatorial Guinea,2020-03-14,Spain,1,42,2020-04-22,,118,3,March,11,74,1,2020,True,1,False,Spain,True,39.0,False
Africa,Eswatini,2020-03-14,"United States, Lesotho",1,33,2020-04-16,59,118,3,March,11,74,1,2020,True,2,True,United States,True,33.0,False
Africa,Eswatini,2020-03-14,"United States, Lesotho",1,33,2020-04-16,59,118,3,March,11,74,1,2020,True,2,True,Lesotho,True,33.0,False
Asia,Uzbekistan,2020-03-15,France ,1,,2020-03-27,72,119,3,March,11,75,1,2020,True,1,False,France,True,12.0,False
North America,Bahamas,2020-03-15,,1,61,2020-04-06,80,119,3,March,11,75,1,2020,False,0,False,,True,22.0,False
Africa,Tanzania,2020-03-16,Belgium,1,46,2020-03-31,49,120,3,March,12,76,1,2020,True,1,False,Belgium,True,15.0,False
Africa,Benin,2020-03-16,"Burkina Faso, Belgium",1,49,2020-04-06,43,120,3,March,12,76,1,2020,True,2,True,Burkina Faso,True,21.0,False
Africa,Benin,2020-03-16,"Burkina Faso, Belgium",1,49,2020-04-06,43,120,3,March,12,76,1,2020,True,2,True,Belgium,True,21.0,False
Africa,Somalia,2020-03-16,China,1,46,2020-04-08,58,120,3,March,12,76,1,2020,True,1,False,China,True,23.0,False
