Continent,Country,Date of First Case(s),Last Visited Country(s) of Confirmed Case(s),Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s)
North America,Bahamas,2020-03-15,,1,61,2020-04-06,80
Africa,Tanzania,2020-03-16,Belgium,1,46,2020-03-31,49
Africa,Benin,2020-03-16,"Burkina Faso, Belgium",1,49,2020-04-06,43
Africa,Somalia,2020-03-16,China,1,46,2020-04-08,58
Africa,Liberia,2020-03-16,Switzerland,1,,2020-04-04,72
Europe,Montenegro,2020-03-17,"Spain, United States",2,"72, 47",2020-03-23,65
Africa,Gambia,2020-03-17,United Kingdom,1,,2020-03-23,70
North America,Barbados,2020-03-17,United States,2,"38,39",2020-04-05,81
Africa,Zambia,2020-03-18,France,2,,2020-04-02,
North America,Nicaragua,2020-03-18,Panama,1,40,2020-03-26,
Asia,Kyrgyzstan,2020-03-18,Saudi Arabia,3,,2020-04-03,60
Africa,Djibouti,2020-03-18,Spain,1,,2020-04-09,
Africa,Mauritius,2020-03-18,"United Kingdom, Cruise Ship*",3,,2020-03-21,
Africa,Chad,2020-03-19,Cameroon,1,,2020-03-19,
North America,El Salvador,2020-03-19,Italy,1,,2020-04-01,60
Africa,Niger,2020-03-19,"Togo,Cote d'Ivoire, Burkina Faso",1,36,2020-03-24,63
Australia,Fiji,2020-03-19,,1,27,,
North America,Haiti,2020-03-19,United States,2,,2020-04-05,55
Australia,Papua New Guinea,2020-03-20,Spain,1,45,,
Africa,Madagascar,2020-03-20,,3,,,
Africa,Cabo Verde,2020-03-20,United Kingdom,1,62,2020-03-24,62
Africa,Eritrea,2020-03-21,Norway,1,39,,
Africa,Angola,2020-03-21,Portugal,2,"38,30+",2020-03-30,"59, 37"
Africa,Zimbabwe,2020-03-21,"United Kingdom, South Africa",1,38,2020-03-23,30
Asia,Timor-Leste,2020-03-21,,1,,,
Africa,Mozambique,2020-03-22,United Kingdom,1,75,,
North America,Grenada,2020-03-22,United Kingdom,1,50,,
North America,Dominica,2020-03-22,United Kingdom,1,54,,
South America,Uganda,2020-03-22,United Arab Emirates,1,36,,
Asia,Syria,2020-03-22,,1,20,2020-03-29,
North America,Belize,2020-03-23,United States,1,38,2020-04-07,54
Asia,Myanmar,2020-03-23,"United States, United Kingdom",2,"36, 26",2020-03-31,69
Africa,Libya,2020-03-24,Saudi Arabia. Tunisia,1,73,2020-04-02,85
Asia,Laos,2020-03-24,"Thailand, Cambodia",2,"28, 36",,
North America,Saint Kitts and Nevis,2020-03-24,"United States, Italy",2,"21,57",,
Africa,Guinea-Bissau,2020-03-25,Congo (Kinshasa),2,,2020-04-26,53
Africa,Mali,2020-03-25,France,2,"49,62",2020-03-28,
Africa,Botswana,2020-03-30,"United Kingdom, Thailand",3,,2020-04-01,79
Africa,Sierra Leone,2020-03-31,France,1,37,2020-04-23,"76,69"
Africa,Burundi,2020-03-31,"Rwanda, United Arab Emirates",2,"56,42",2020-04-13,
Africa,Malawi,2020-04-01,India,3,"63, N/A, N/A",2020-04-07,51
Africa,Western Sahara,2020-04-04,,1,,,
Africa,South Sudan,2020-04-05,Ethiopia,1,29,2020-05-14,51
Africa,Sao Tome and Principe,2020-04-06,,4,,2020-04-30,55
Asia,Yemen,2020-04-10,,1,60,2020-04-29,
Africa,Comoros,2020-04-30,France,1,50,2020-05-07,
Asia,Tajikistan,2020-04-30,,15,,2020-05-02,
Africa,Lesotho,2020-05-13,Saudi Arabia,1,,,
